Type1,regionExp_response_3.rt,regionExp_response_4.rt,Type2,regionExp_response_3.rt,regionExp_response_4.rt,OmS_3,OmS_4,OmS_4minus3,Participant
O,1.114959002,0.362077951,S,0.411425829,0.39736104,0.703533173,-0.035283089,-0.738816262,1
O,4.796684027,0.830274105,S,1.0648489,0.579093933,3.731835127,0.251180172,-3.480654955,1
O,1.701591969,0.512804031,S,0.847359896,1.91830802,0.854232073,-1.405503989,-2.259736062,1
O,1.030798197,0.913341045,S,0.562070131,0.865393877,0.468728066,0.047947168,-0.420780898,1
O,2.053858995,1.214747906,S,1.885183096,2.036659002,0.168675899,-0.821911096,-0.990586995,1
O,0.445824862,0.474081993,S,1.266005039,0.647537947,-0.820180177,-0.173455954,0.646724223,1
O,1.718680859,1.165023804,S,0.41242218,1.800503969,1.306258679,-0.635480165,-1.941738844,1
O,0.562289953,0.663450956,S,0.428271055,0.614407063,0.134018898,0.049043893,-0.084975005,1
O,0.61439395,0.897521019,S,0.964298964,0.463321209,-0.349905014,0.43419981,0.784104824,1
O,0.463162899,0.579148054,S,1.482898951,0.395081997,-1.019736052,0.184066057,1.203802109,1
O,0.177775145,0.158717155,S,0.360842943,0.330099821,-0.183067798,-0.171382666,0.011685132,2
O,0.195271969,0.160951853,S,0.178364038,0.212309837,0.016907931,-0.051357984,-0.068265915,2
O,0.193800926,0.17783618,S,0.161440849,0.194210052,0.032360077,-0.016373872,-0.048733949,2
O,0.378968,0.277685881,S,0.178189993,0.177322865,0.200778007,0.100363016,-0.100414991,2
O,0.112107038,0.19414115,S,0.177395105,0.143995047,-0.065288067,0.050146103,0.11543417,2
O,0.244743109,0.277627945,S,0.109920025,0.143638134,0.134823084,0.133989811,-0.000833273,2
O,0.162392855,0.19401288,S,0.36195302,0.194458961,-0.199560165,-0.000446081,0.199114084,2
O,1.229920864,0.36137104,S,0.17672801,0.14567709,1.053192854,0.21569395,-0.837498904,2
O,0.194382906,0.311560869,S,0.361731052,0.194675922,-0.167348146,0.116884947,0.284233093,2
O,0.177829027,0.159782171,S,0.478434086,0.462219954,-0.300605059,-0.302437783,-0.001832724,2
O,1.081416845,0.529026985,S,0.896239996,0.480108976,0.185176849,0.048918009,-0.13625884,3
O,0.59591794,2.250760078,S,0.428776979,0.595389843,0.167140961,1.655370235,1.488229274,3
O,0.996728897,0.645819902,S,0.461395979,1.433197021,0.535332918,-0.787377119,-1.322710037,3
O,0.461616039,0.545286894,S,0.679581165,1.063754082,-0.217965126,-0.518467188,-0.300502062,3
O,0.511602879,0.361460924,S,0.678970098,1.982845068,-0.167367219,-1.621384144,-1.454016925,3
O,0.980038166,0.745996952,S,2.083000898,1.198030949,-1.102962732,-0.452033997,0.650928735,3
O,0.797280073,2.969386101,S,0.662639856,1.365805864,0.134640217,1.603580237,1.46894002,3
