Type1,regionExp_response_8.rt,regionExp_response_9.rt,Type2,regionExp_response_8.rt,regionExp_response_9.rt,OmS_8,OmS_9,Participant
O,0.831901073,0.395128012,S,0.579553127,1.934393883,0.252347946,-1.539265871,1
O,0.913933992,0.880769014,S,0.697612047,1.81810689,0.216321945,-0.937337876,1
O,0.514011145,0.57940197,S,0.880861998,1.935134888,-0.366850853,-1.355732918,1
O,1.249245882,0.696331978,S,0.394752026,0.763695955,0.854493856,-0.067363977,1
O,0.495605946,0.780469894,S,1.284067869,0.545580864,-0.788461923,0.23488903,1
O,1.197590113,0.546578884,S,0.46348381,0.462366104,0.734106303,0.08421278,1
O,1.183353186,0.529434919,S,0.31320405,0.41130209,0.870149136,0.118132829,1
O,1.484742165,3.340522051,S,1.280221939,0.797141075,0.204520226,2.543380976,1
O,0.296036005,0.311936855,S,0.881940126,2.453362942,-0.585904121,-2.141426087,1
O,0.5137012,1.081194878,S,0.411881924,0.64576292,0.101819276,0.435431958,1
O,0.195919991,0.177815914,S,0.478798151,0.562105179,-0.28287816,-0.384289265,2
O,0.145120859,0.161111116,S,0.193963051,0.194257975,-0.048842192,-0.033146859,2
O,0.211206198,0.194272995,S,0.229151964,0.211042881,-0.017945766,-0.016769886,2
O,0.194005013,0.160302877,S,0.21247983,0.194029093,-0.018474817,-0.033726216,2
O,0.144016981,0.127934217,S,0.144176006,0.160675049,-0.000159025,-0.032740832,2
O,0.596880913,0.679524899,S,0.161936998,0.478112936,0.434943915,0.201411963,2
O,0.177864075,0.177587986,S,0.210930109,0.211097002,-0.033066034,-0.033509016,2
O,0.463088989,0.361283064,S,0.194417,0.177354097,0.268671989,0.183928967,2
O,0.16206789,0.177521944,S,0.245827913,0.189644098,-0.083760023,-0.012122154,2
O,0.327618837,0.160204172,S,0.378319979,0.929978132,-0.050701142,-0.76977396,2
O,2.434486866,0.528918982,S,1.314657927,0.679098129,1.119828939,-0.150179147,3
O,3.272140026,0.645460129,S,1.249017954,0.678885937,2.023122072,-0.033425808,3
O,2.904599905,0.445189953,S,0.428804874,0.612151861,2.475795031,-0.166961908,3
O,1.3439641,0.512065887,S,0.579304934,0.695100069,0.764659166,-0.183034182,3
O,1.616540194,0.595717907,S,0.596942902,0.608958006,1.019597292,-0.013240099,3
O,0.396286964,0.445242167,S,0.646530151,0.562038898,-0.250243187,-0.116796731,3
O,1.280380011,1.493704081,S,0.897124052,0.511795998,0.383255959,0.981908083,3
O,1.029491186,0.512830019,S,0.731104851,0.762579918,0.298386335,-0.249749899,3
O,1.165146112,0.511783123,S,0.562438965,0.37765193,0.602707147,0.134131193,3
O,1.012634993,0.561993122,S,0.863208055,0.879704952,0.149426938,-0.31771183,3
O,0.579901218,0.694635868,S,0.914782047,0.41224885,-0.334880829,0.282387018,4
O,1.68405509,1.165168047,S,0.715396881,0.763787985,0.968658209,0.401380062,4
O,0.580986977,0.444797039,S,3.459554911,1.13173914,-2.878567934,-0.686942101,4
