RCtype,Par,ParFac,RC1,RC2,RC1fac,RC2fac,Group,Num,Item,Participant,Main,V1,V2,V3,V4,Matching,regionExp_response_1.rt,regionExp_response_2.rt,R_PRE,regionExp_response_3.rt,VinRC1,NinRC1,regionExp_response_4.rt,R34,regionExp_response_5.rt,regionExp_response_6.rt,regionExp_response_7.rt,R56,R567,regionExp_response_8.rt,regionExp_response_9.rt,VinRC2,NinRC2,R89,regionExp_response_10.rt,regionExp_response_11.rt,regionExp_response_12.rt,Q_Exp_response.keys,Q_Exp_response.rt,log_R1,log_R2,log_R3,log_R4,log_R5,log_R6,log_R7,log_R8,log_R9,log_R10,log_R11,log_R12,log_PRE,log_R34,log_R56,log_R567,log_R89,log_R8910,log_VinRC1,log_NinRC1,log_VinRC2,log_NinRC2,CORR,OO%COR,OS%COR,SO%COR,SS%COR,T%COR,OO-FP,OS-FP,SO-FP,SS-FP,T-FP,adj-OO,adj-OS,adj-SO,adj-SS,adj-%COR,adj-OO-FP,adj-OS-FP,adj-SO-FP,adj-SS-FP,adj-T-FP,dprimeOO,dprimeOS,dprimeSO,dprimeSS,dprimeT,dprimeSS-OS,dprimeOO-SO,dprimeSS-SO,dprimeOO-OS
OO,P,0.5,O,O,-0.5,-0.5,3,10,13,1,main,0,0,0,1,mismatch1,0.613409996,0.57585597,1.189265966,1.114959002,0.362077951,1.114959002,0.362077951,1.477036953,2.820379019,0.363358021,2.954833984,3.318192005,6.138571024,0.831901073,0.395128012,0.395128012,0.831901073,1.227029085,2.656714916,0.932047844,0.624950886,n,5.069619894,2.787750849,2.760313874,3.047258898,2.558802079,3.450307475,2.560334752,3.470533085,2.920071684,2.596737819,3.424344954,2.969438206,2.795845888,3.075278991,3.169391361,3.520901513,3.788067285,3.088854857,3.589250595,2.558802079,3.047258898,2.596737819,2.920071684,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,P,0.5,O,O,-0.5,-0.5,15,58,73,1,main,0,0,0,1,mismatch1,0.980687141,2.584690809,3.56537795,4.796684027,0.830274105,4.796684027,0.830274105,5.626958132,0.745044947,2.221092939,1.298348904,3.519441843,4.26448679,0.913933992,0.880769014,0.880769014,0.913933992,1.794703006,0.413756132,1.950942993,0.692643166,n,3.205307007,2.991530481,3.412408599,3.680941111,2.919221493,2.872182474,3.346566731,3.113391416,2.96091483,2.944862027,2.616744443,3.290244579,2.840509554,3.552105574,3.750273684,3.546473793,3.629866773,3.25399259,3.344089368,2.919221493,3.680941111,2.944862027,2.96091483,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,P,0.5,O,O,-0.5,-0.5,19,74,93,1,main,0,0,0,1,match,0.478778124,0.542727232,1.021505356,1.701591969,0.512804031,1.701591969,0.512804031,2.214396,0.695016146,0.380290985,4.309892893,4.690183878,5.385200024,0.514011145,0.57940197,0.57940197,0.514011145,1.093413115,0.380452156,0.495270967,0.925651073,y,2.435475111,2.680134299,2.734581613,3.230855427,2.70995143,2.841994894,2.58011603,3.634466477,2.710972536,2.762979967,2.58030005,2.69484287,2.966447309,3.009240648,3.345255288,3.67118987,3.731201839,3.038784279,3.168457786,2.70995143,3.230855427,2.762979967,2.710972536,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,P,0.5,O,O,-0.5,-0.5,9,34,43,1,main,0,1,0,0,mismatch2,0.445212841,0.676917076,1.122129917,1.030798197,0.913341045,1.030798197,0.913341045,1.944139242,3.54321003,5.534960032,1.532984972,7.067945004,10.61115503,1.249245882,0.696331978,0.696331978,1.249245882,1.94557786,0.748672009,2.086581945,0.357069016,n,2.845476866,2.648567682,2.83053547,3.01317365,2.960632975,3.549396897,3.743114489,3.185537897,3.096647927,2.84281634,2.874291596,3.319435445,2.552752167,3.050043141,3.288727366,3.849293162,4.02576266,3.289048616,3.43043787,2.960632975,3.01317365,2.84281634,3.096647927,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,P,0.5,O,O,-0.5,-0.5,5,18,23,1,main,0,1,0,0,match,0.378484011,2.934299946,3.312783957,2.053858995,1.214747906,2.053858995,1.214747906,3.268606901,0.647549152,0.346653938,3.675467014,4.022120952,4.669670104,0.495605946,0.780469894,0.780469894,0.495605946,1.27607584,2.673278093,0.362658024,0.424073935,y,2.070109129,2.578047538,3.467504506,3.312570624,3.084486159,2.811272739,2.539896138,3.565312529,2.695136508,2.892356155,3.427044139,2.559497291,2.62744158,3.520193114,3.514362693,3.604455126,3.6692862,3.105876486,3.596526056,3.084486159,3.312570624,2.892356155,2.695136508,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,P,0.5,O,O,-0.5,-0.5,7,26,33,1,main,0,0,0,1,mismatch1,0.39551115,1.345861912,1.741373062,0.445824862,0.474081993,0.445824862,0.474081993,0.919906855,0.427809,0.413609982,2.151178122,2.564788104,2.992597104,1.197590113,0.546578884,0.546578884,1.197590113,1.744168997,0.316787004,0.4972229,0.373675823,n,2.050548077,2.597158731,3.129000503,2.649164284,2.67585346,2.631249917,2.616591011,3.332676372,3.078308202,2.73765285,2.500767357,2.696551122,2.572495,3.240891822,2.963743855,3.409051491,3.476048251,3.241588563,3.31406872,2.67585346,2.649164284,2.73765285,3.078308202,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,P,0.5,O,O,-0.5,-0.5,1,2,3,1,main,0,1,0,0,match,0.59631896,0.542454958,1.138773918,1.718680859,1.165023804,1.718680859,1.165023804,2.883704663,5.501032114,0.480085135,1.215141058,1.695226193,7.196258307,1.183353186,0.529434919,0.529434919,1.183353186,1.712788105,0.346466064,0.442553997,0.641164064,y,3.789952993,2.775478618,2.734363683,3.23519524,3.066334799,3.74044418,2.681318259,3.084626695,3.073114384,2.723812582,2.539660702,2.645966268,2.806969173,3.056437512,3.45995078,3.229227654,3.857106744,3.233703638,3.313709954,3.066334799,3.23519524,2.723812582,3.073114384,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,P,0.5,O,O,-0.5,-0.5,17,66,83,1,main,0,1,0,0,mismatch2,0.712972879,2.132847071,2.84581995,0.562289953,0.663450956,0.562289953,0.663450956,1.225740909,0.597074986,0.36382699,1.515761852,1.879588842,2.476663828,1.484742165,3.340522051,3.340522051,1.484742165,4.825264216,0.363391161,1.064728975,0.808652878,n,2.518949032,2.85307301,3.328959717,2.749960324,2.821808824,2.776028877,2.560894913,3.180630973,3.171651042,3.523814343,2.560374359,3.027239073,2.907762137,3.45420742,3.088398681,3.274062858,3.393867061,3.683521099,3.715054826,2.821808824,2.749960324,3.523814343,3.171651042,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,P,0.5,O,O,-0.5,-0.5,13,50,63,1,main,0,1,0,0,mismatch2,0.411618948,0.776540041,1.188158989,0.61439395,0.897521019,0.61439395,0.897521019,1.511914969,0.379613161,0.43027091,2.570564032,3.000834942,3.380448103,0.296036005,0.311936855,0.311936855,0.296036005,0.60797286,0.313086033,3.256814957,0.369068861,n,6.750067949,2.614495358,2.890163854,2.788446931,2.953044628,2.579341261,2.633741985,3.410028426,2.471344535,2.494066689,2.495663694,3.512793084,2.567107405,3.074874558,3.179527367,3.477242108,3.528974273,2.783884193,2.9642874,2.953044628,2.788446931,2.494066689,2.471344535,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,P,0.5,O,O,-0.5,-0.5,11,42,53,1,main,0,0,0,1,mismatch1,0.662537098,1.663239956,2.325777054,0.463162899,0.579148054,0.463162899,0.579148054,1.042310953,0.644633055,1.518462896,0.878947973,2.397410869,3.042043924,0.5137012,1.081194878,1.081194878,0.5137012,1.594896078,0.53105998,0.663841963,0.842661142,n,2.476214886,2.821210201,3.22095491,2.665733764,2.762789601,2.809312571,3.181404184,2.943963169,2.71071058,3.03390398,2.725143575,2.822064702,2.925652968,3.366568081,3.017997302,3.37974247,3.483165481,3.20273239,3.327554284,2.762789601,2.665733764,3.03390398,2.71071058,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
