RC1,NPorV,REG,log_NPorV,unlogged,Item,Participant
O,V,R4,2.558802079,0.362077951,13,1
O,V,R4,2.919221493,0.830274105,73,1
O,V,R4,2.70995143,0.512804031,93,1
O,V,R4,2.960632975,0.913341045,43,1
O,V,R4,3.084486159,1.214747906,23,1
O,V,R4,2.67585346,0.474081993,33,1
O,V,R4,3.066334799,1.165023804,3,1
O,V,R4,2.821808824,0.663450956,83,1
O,V,R4,2.953044628,0.897521019,63,1
O,V,R4,2.762789601,0.579148054,53,1
O,V,R4,2.20062387,0.158717155,83,2
O,V,R4,2.206695981,0.160951853,38,2
O,V,R4,2.250020121,0.17783618,43,2
O,V,R4,2.443553799,0.277685881,18,2
O,V,R4,2.288117598,0.19414115,63,2
O,V,R4,2.443463178,0.277627945,3,2
O,V,R4,2.287830563,0.19401288,23,2
O,V,R4,2.557953346,0.36137104,78,2
O,V,R4,2.493542906,0.311560869,98,2
O,V,R4,2.203528318,0.159782171,58,2
O,V,R4,2.723477825,0.529026985,63,3
O,V,R4,3.352329203,2.250760078,98,3
O,V,R4,2.810111424,0.645819902,78,3
O,V,R4,2.73662506,0.545286894,43,3
O,V,R4,2.558061354,0.361460924,83,3
O,V,R4,2.872737053,0.745996952,3,3
O,V,R4,3.472666671,2.969386101,18,3
O,V,R4,2.648131624,0.444766045,23,3
O,V,R4,2.648461616,0.445104122,38,3
O,V,R4,2.786767148,0.612022161,58,3
O,V,R4,2.944859089,0.880763054,18,4
O,V,R4,2.750446567,0.562919855,58,4
O,V,R4,2.614418377,0.411545992,38,4
O,V,R4,2.73712437,0.545914173,78,4
O,V,R4,2.66473129,0.462095022,88,4
O,V,R4,2.61508485,0.41217804,68,4
O,V,R4,3.090697138,1.232245207,8,4
O,V,R4,2.537885755,0.345052958,28,4
O,V,R4,2.66469835,0.462059975,98,4
O,V,R4,2.695197091,0.495675087,48,4
O,V,R4,2.910140321,0.813093185,8,5
O,V,R4,2.821391609,0.662813902,88,5
O,V,R4,2.77520175,0.595938921,33,5
O,V,R4,2.577248236,0.377788067,73,5
O,V,R4,2.678627768,0.477120161,93,5
O,V,R4,2.882595649,0.763124943,13,5
O,V,R4,2.842352597,0.695588827,53,5
O,V,R4,2.736825156,0.545538187,68,5
O,V,R4,2.736356663,0.544950008,28,5
O,V,R4,2.577355113,0.37788105,48,5
O,V,R4,3.033671776,1.080616951,93,6
O,V,R4,2.557882567,0.361312151,63,6
O,V,R4,2.648711388,0.445360184,73,6
O,V,R4,2.664067297,0.461389065,3,6
O,V,R4,2.736475401,0.54509902,53,6
O,V,R4,2.820849348,0.661986828,23,6
O,V,R4,2.614194397,0.411333799,83,6
O,V,R4,2.64823521,0.444872141,33,6
O,V,R4,2.613727696,0.41089201,13,6
O,V,R4,2.558265838,0.361631155,43,6
O,V,R4,2.84299162,0.696613073,3,7
O,V,R4,2.786965724,0.612302065,23,7
O,V,R4,3.763457499,5.800394058,63,7
O,V,R4,2.614569057,0.411688805,93,7
O,V,R4,2.775081499,0.595773935,83,7
O,V,R4,2.709311488,0.51204896,73,7
O,V,R4,3.03401046,1.081459999,43,7
O,V,R4,2.597436149,0.395763874,33,7
O,V,R4,2.558516587,0.36184001,53,7
O,V,R4,2.632619115,0.42915988,13,7
O,V,R4,2.852745833,0.712435961,88,8
O,V,R4,3.342463541,2.200206995,48,8
O,V,R4,2.787012394,0.612367868,98,8
O,V,R4,2.821138617,0.662427902,68,8
O,V,R4,3.293687326,1.966470003,28,8
O,V,R4,2.664758403,0.462123871,38,8
O,V,R4,2.614660094,0.411775112,18,8
O,V,R4,2.749744818,0.562011003,8,8
O,V,R4,2.983788212,0.963359118,78,8
O,V,R4,2.774953913,0.595598936,58,8
O,V,R4,2.596156987,0.394599915,43,9
O,V,R4,2.664768934,0.462135077,63,9
O,V,R4,2.614842363,0.411947966,38,9
O,V,R4,2.708022885,0.510531902,58,9
O,V,R4,2.750006727,0.562350035,23,9
O,V,R4,2.577623836,0.378114939,18,9
O,V,R4,2.614841357,0.411947012,83,9
O,V,R4,2.537948766,0.345103025,98,9
O,V,R4,2.614580878,0.41170001,3,9
O,V,R4,2.577456213,0.377969027,78,9
O,V,R4,2.679261434,0.47781682,13,10
O,V,R4,2.680269228,0.478926897,78,10
O,V,R4,2.772926463,0.592824936,73,10
O,V,R4,3.012856212,1.030045033,33,10
O,V,R4,2.935923159,0.862825871,18,10
O,V,R4,2.648523956,0.445168018,98,10
O,V,R4,2.872600869,0.745763063,58,10
O,V,R4,2.708546645,0.511147976,53,10
O,V,R4,3.053098829,1.130053043,38,10
O,V,R4,2.991136055,0.979796886,93,10
O,V,R4,2.9839811,0.963787079,13,11
O,V,R4,3.251058299,1.782618046,73,11
O,V,R4,2.663931504,0.461244822,33,11
O,V,R4,2.798599576,0.628926039,53,11
O,V,R4,2.84253372,0.695878983,68,11
O,V,R4,2.536936762,0.344299793,88,11
O,V,R4,2.798808119,0.629228115,28,11
O,V,R4,2.831874896,0.679008007,48,11
O,V,R4,2.694209151,0.494548798,8,11
O,V,R4,3.160736726,1.447893858,93,11
O,V,R4,3.160925695,1.448523998,33,12
O,V,R4,2.66403902,0.461359024,18,12
O,V,R4,2.648683023,0.445331097,53,12
O,V,R4,2.891402548,0.778758049,58,12
O,V,R4,2.736444247,0.545059919,38,12
O,V,R4,2.72315515,0.528634071,98,12
O,V,R4,3.150739012,1.414943218,78,12
O,V,R4,3.053314009,1.130613089,93,12
O,V,R4,2.613854432,0.411011934,13,12
O,V,R4,2.596921217,0.395294905,73,12
O,V,R4,2.723349802,0.528871059,78,13
O,V,R4,2.991308066,0.980185032,8,13
O,V,R4,2.749794376,0.562075138,38,13
O,V,R4,2.842725921,0.696187019,98,13
O,V,R4,2.749876161,0.562180996,68,13
O,V,R4,2.694445465,0.494817972,58,13
O,V,R4,2.648468362,0.445111036,28,13
O,V,R4,3.046775995,1.11371994,48,13
O,V,R4,2.675940596,0.474177122,88,13
O,V,R4,2.61394839,0.411100864,18,13
O,V,R4,2.774913752,0.595543861,68,14
O,V,R4,2.882415287,0.762808084,28,14
O,V,R4,2.648449985,0.445092201,8,14
O,V,R4,2.558423002,0.361762047,48,14
O,V,R4,2.537353084,0.344630003,33,14
O,V,R4,3.437123558,2.73604703,93,14
O,V,R4,2.762428123,0.57866621,73,14
O,V,R4,2.73648167,0.545106888,13,14
O,V,R4,2.558009789,0.361418009,88,14
O,V,R4,3.155835894,1.431646824,53,14
O,V,R4,2.976300458,0.946892023,63,15
O,V,R4,2.664488773,0.461837053,68,15
O,V,R4,2.7364243,0.545034885,23,15
O,V,R4,3.026668527,1.063331127,28,15
O,V,R4,2.872827263,0.746151924,3,15
O,V,R4,3.04671556,1.113564968,48,15
O,V,R4,2.577186289,0.377734184,43,15
O,V,R4,2.537469042,0.344722033,83,15
O,V,R4,2.631277265,0.427835941,88,15
O,V,R4,2.762533682,0.578806877,8,15
O,V,R4,2.952542609,0.896484137,43,16
O,V,R4,2.831951745,0.67912817,28,16
O,V,R4,2.774905059,0.59553194,63,16
O,V,R4,2.775230244,0.595978022,88,16
O,V,R4,2.679848299,0.478462934,48,16
O,V,R4,3.118545761,1.313849926,23,16
O,V,R4,2.795309074,0.624178886,8,16
O,V,R4,2.762585558,0.578876019,68,16
O,V,R4,2.70951406,0.512287855,3,16
O,V,R4,2.664046426,0.461366892,83,16
O,V,R4,2.70983289,0.51266408,58,17
O,V,R4,2.649252066,0.445914984,63,17
O,V,R4,2.710067316,0.512940884,18,17
O,V,R4,2.991537133,0.980702162,23,17
O,V,R4,2.679825792,0.478438139,83,17
O,V,R4,2.723303008,0.528814077,38,17
O,V,R4,2.649025142,0.445682049,98,17
O,V,R4,2.99150778,0.980635881,43,17
O,V,R4,2.679801336,0.478411198,3,17
O,V,R4,2.632479638,0.429022074,78,17
O,V,R4,2.810728414,0.646738052,73,18
O,V,R4,2.544452643,0.350310087,43,18
O,V,R4,2.516432018,0.328421831,83,18
O,V,R4,2.709573479,0.51235795,33,18
O,V,R4,2.928214027,0.847645044,13,18
O,V,R4,2.680185983,0.478835106,3,18
O,V,R4,2.968881162,0.930853128,63,18
O,V,R4,2.94429266,0.879615068,23,18
O,V,R4,3.151173915,1.416360855,53,18
O,V,R4,2.723256991,0.528758049,93,18
O,V,R4,2.694749826,0.495164871,18,19
O,V,R4,2.842720865,0.696178913,78,19
O,V,R4,2.648558147,0.445203066,38,19
O,V,R4,2.631537115,0.428092003,23,19
O,V,R4,2.57861866,0.378982067,98,19
