RCtype,Par,ParFac,RC1,RC2,RC1fac,RC2fac,Group,Num,Item,Participant,V1,V2,V3,V4,Matching,regionExp_response_1.rt,regionExp_response_2.rt,regionExp_response_3.rt,regionExp_response_4.rt,regionExp_response_5.rt,regionExp_response_6.rt,regionExp_response_7.rt,regionExp_response_8.rt,regionExp_response_NinRC2.rt,regionExp_response_VinRC2.rt,regionExp_response_9.rt,regionExp_response_10.rt,Q_Exp_reponse_1.keys,Q_Exp_reponse_1.rt,log_R1,log_R2,log_R3,log_R4,log_R5,log_R6,log_R7,log_R8,log_R9,log_R10,log_R34,log_R78,log_VinRC2,log_NinRC2,CORR,OO%COR,OS%COR,SO%COR,SS%COR,%COR,OO-FP,OS-FP,SO-FP,SS-FP,T-FP,adj-OO,adj-OS,adj-SO,adj-SS,adj-%COR,adj-OO-FP,adj-OS-FP,adj-SO-FP,adj-SS-FP,adj-T-FP,dprimeOO,dprimeOS,dprimeSO,dprimeSS,dprimeT,dprimeSS-OS,dprimeOO-SO,dprimeSS-SO,dprimeOO-OS
OS,NP,-0.5,O,S,-0.5,0.5,16,64,80,1,1,0,0,0,mismatch2,0.32626605,0.5972929,0.493937016,2.386667967,1.461233139,0.497310162,0.763098001,0.477347851,0.477347851,0.763098001,0.510596037,0.610780954,n,5.195569992,2.513571885,2.776187352,2.693671574,3.377792004,3.164719513,2.696627334,2.882580316,2.678834972,2.70807744,2.785885486,3.459483708,3.093577811,2.882580316,2.678834972,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
SS,P,0.5,S,S,0.5,0.5,1,1,2,1,1,0,0,0,match,0.426943064,0.480039835,0.796793938,0.526344061,0.644448042,0.11145997,1.231847048,0.627861977,0.627861977,1.231847048,0.542331934,0.476915836,y,5.085528851,2.630369963,2.681277278,2.901346021,2.721269727,2.809187909,2.047118922,3.090556787,2.797864183,2.734265178,2.678441743,3.121605142,3.269444999,3.090556787,2.797864183,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
SS,P,0.5,S,S,0.5,0.5,15,57,72,1,0,0,1,0,match,0.427054167,0.413054943,0.411534071,0.326781988,0.409959078,0.362848043,0.529206038,0.393598795,0.393598795,0.529206038,0.576235056,0.442895174,y,2.989660025,2.630482964,2.616007824,2.614405796,2.514258111,2.612740508,2.559724785,2.723624791,2.59505376,2.760599676,2.646300948,2.868242315,2.96510986,2.723624791,2.59505376,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
OS,NP,-0.5,O,S,-0.5,0.5,18,72,90,1,0,0,1,0,match,0.4275949,0.680521965,0.861100912,0.462286949,0.460767031,0.43037796,0.512189865,0.410532951,0.410532951,0.512189865,0.827368975,0.359014988,y,5.19939208,2.631032517,2.832842147,2.935054049,2.664911633,2.663481397,2.633850023,2.709430981,2.613348021,2.917699232,2.55511258,3.121687147,2.965071259,2.709430981,2.613348021,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
SS,P,0.5,S,S,0.5,0.5,5,17,22,1,1,0,0,0,mismatch2,0.442862988,0.513170958,0.394893885,0.44373703,1.062510014,0.362227917,0.295167923,0.644445896,0.644445896,0.295167923,0.441962004,0.2929039,n,1.900593042,2.646269386,2.71026207,2.596480409,2.647125672,3.026333032,2.558981918,2.470069159,2.809186462,2.645384934,2.466725154,2.923570868,2.972949395,2.470069159,2.809186462,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
SO,NP,-0.5,S,O,0.5,-0.5,9,35,44,1,0,0,1,0,match,0.460175037,0.479197025,0.428767204,0.477419138,0.527440071,0.329193115,0.594171047,0.496127844,0.594171047,0.496127844,0.82719779,0.52680707,y,1.546246052,2.662923056,2.680514113,2.632221559,2.678899824,2.722173121,2.517450743,2.773911486,2.695593601,2.917609365,2.721651595,2.957217512,3.03754557,2.695593601,2.773911486,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
OO,P,0.5,O,O,-0.5,-0.5,14,54,68,1,1,0,0,0,match,0.460533857,0.613788128,0.626141071,0.66306901,0.478368044,0.479309082,0.645065069,0.876619101,0.645065069,0.876619101,1.028551102,0.476427078,y,2.000570059,2.663261564,2.788018484,2.796672192,2.821558731,2.67976216,2.680615658,2.809603525,2.942810929,3.012225874,2.677996437,3.110323693,3.182324523,2.942810929,2.809603525,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
SS,P,0.5,S,S,0.5,0.5,9,33,42,1,1,0,0,0,mismatch2,0.476938009,1.902357101,1.884508133,3.489606142,0.527227163,0.445955992,0.763643026,0.594393969,0.594393969,0.763643026,0.810673952,0.409470081,n,2.253312826,2.678461934,3.279292044,3.275198016,3.542776413,2.721997777,2.649292004,2.88289039,2.774074394,2.908846219,2.612222174,3.730306897,3.132911601,2.88289039,2.774074394,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
SS,P,0.5,S,S,0.5,0.5,19,73,92,1,0,0,1,0,match,0.477199078,0.446294069,0.546190023,0.929481983,1.883054018,1.03173995,0.612950802,0.55982399,0.55982399,0.612950802,0.559508801,1.363357067,y,2.937325954,2.678699596,2.649621115,2.737343763,2.968240976,3.274862779,3.013570247,2.787425618,2.748051505,2.747806922,3.134609614,3.168989839,3.069214623,2.787425618,2.748051505,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
OO,P,0.5,O,O,-0.5,-0.5,2,6,8,1,1,0,0,0,match,0.477659941,0.678675175,0.426305056,0.328137875,1.683287144,0.37917304,0.510953188,0.395299911,0.510953188,0.395299911,0.760595083,0.443221092,y,1.934026957,2.679118821,2.831661964,2.629720483,2.516056361,3.226158207,2.578837451,2.708381113,2.596926717,2.881153514,2.646620419,2.877626394,2.957249505,2.596926717,2.708381113,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
OO,P,0.5,O,O,-0.5,-0.5,12,46,58,1,0,0,1,0,mismatch2,0.543742895,0.596580029,0.7614851,3.173735142,0.575232983,0.395827055,0.728667021,0.641857862,0.728667021,0.641857862,0.694972038,0.543458939,n,1.432932854,2.735393595,2.775668711,2.88166141,3.501570681,2.75984378,2.597505475,2.862529114,2.807438865,2.841967331,2.735166737,3.594969043,3.136886925,2.807438865,2.862529114,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
SO,NP,-0.5,S,O,0.5,-0.5,15,59,74,1,1,0,0,0,mismatch1,0.578083038,0.446075201,0.462289095,0.426501989,0.326421022,0.479767084,0.611207962,1.131830931,0.611207962,1.131830931,0.441570997,0.376038074,n,3.073794842,2.761990227,2.64940808,2.664913649,2.629921061,2.51377812,2.681030448,2.786189003,3.053781558,2.645000541,2.57523182,2.948799689,3.241307078,3.053781558,2.786189003,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
SO,NP,-0.5,S,O,0.5,-0.5,5,19,24,1,0,0,1,0,match,0.593807936,0.864831924,2.235445976,0.443964005,1.179724932,0.646775007,0.595039129,0.596307039,0.595039129,0.596307039,0.525878906,0.376052856,y,8.294979095,2.773645997,2.936931713,3.349364179,2.647347761,3.071780758,2.810753229,2.774545525,2.775469936,2.720885751,2.575248891,3.428039171,3.076037972,2.775469936,2.774545525,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
SS,P,0.5,S,S,0.5,0.5,17,65,82,1,1,0,0,0,mismatch2,0.611534119,2.588536978,0.629034996,1.213718891,1.732131004,1.299879074,0.926758051,0.627837181,0.627837181,0.926758051,0.810915947,0.493178129,n,2.421393871,2.786420692,3.413054373,2.798674808,3.084118112,3.238580735,3.113902952,2.966966368,2.797847031,2.908975841,2.693003809,3.265467336,3.191617331,2.966966368,2.797847031,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
OO,P,0.5,O,O,-0.5,-0.5,10,38,48,1,1,0,0,0,match,0.661248922,0.429480076,0.476109028,1.751063108,0.511372089,0.798120022,0.559862137,0.94777298,0.559862137,0.94777298,1.062065125,0.543227196,y,2.215795994,2.820364977,2.632943021,2.677706417,3.243301798,2.70873702,2.902068206,2.748081098,2.976704323,3.026151148,2.734981504,3.347753785,3.178296245,2.976704323,2.748081098,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
SS,P,0.5,S,S,0.5,0.5,11,41,52,1,0,0,1,0,mismatch1,0.677145958,0.429935932,0.462167978,0.475636005,1.632242203,0.429343939,0.512637854,0.460432053,0.460432053,0.512637854,0.576010227,0.526583195,n,7.320216179,2.83068229,2.633403743,2.664799851,2.677274723,3.212784603,2.632805336,2.709810672,2.663165549,2.760430194,2.721466995,2.972112073,2.988144042,2.709810672,2.663165549,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
SO,NP,-0.5,S,O,0.5,-0.5,13,51,64,1,0,0,1,0,mismatch2,0.795691967,0.663816929,0.679255962,3.506963015,0.727763891,0.429236889,0.560226917,0.44542408,0.560226917,0.44542408,0.67644906,0.577425003,n,3.60989213,2.900744974,2.822048324,2.832033459,3.544931186,2.861990504,2.632697039,2.748363971,2.648773692,2.830235098,2.761495585,3.621821942,3.002447288,2.648773692,2.748363971,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
OS,NP,-0.5,O,S,-0.5,0.5,2,8,10,1,0,0,1,0,mismatch1,0.81190896,1.33314991,0.945713043,2.90574193,0.746053934,0.462696075,0.780601978,0.728394985,0.728394985,0.780601978,0.576050997,0.677823067,n,5.227867842,2.909507334,3.124878988,2.975759379,3.46325704,2.872770225,2.665295815,2.892429647,2.862366947,2.760460933,2.831116344,3.585624825,3.178688366,2.892429647,2.862366947,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
OO,P,0.5,O,O,-0.5,-0.5,16,62,78,1,0,0,1,0,mismatch1,0.84561801,0.546389818,0.862561941,5.650522947,0.607724905,0.430299997,1.782642841,0.729794025,1.782642841,0.729794025,0.594644785,0.509750843,n,2.155917168,2.927174224,2.737502598,2.935790292,3.752088643,2.783707034,2.633771343,3.251064339,2.863200303,2.774257614,2.707357953,3.813786739,3.400095157,2.863200303,3.251064339,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
