RCtype,RC1,RC2,Group,Num,Item,Participant,Main,V1,V2,V3,V4,Matching,regionExp_response_1.rt,regionExp_response_2.rt,regionExp_response_3.rt,regionExp_response_4.rt,regionExp_response_5.rt,regionExp_response_6.rt,regionExp_response_7.rt,regionExp_response_8.rt,regionExp_response_9.rt,regionExp_response_10.rt,regionExp_response_11.rt,regionExp_response_12.rt,Q_Exp_response.keys,Q_Exp_response.rt,log_R1,log_R2,log_R3,log_R4,log_R5,log_R6,log_R7,log_R8,log_R9,log_R10,log_R11,log_R12,log_R34,log_R89,CORR,OO%COR,OS%COR,SO%COR,SS%COR,T%COR,OO-FP,OS-FP,SO-FP,SS-FP,T-FP,adj-OO,adj-OS,adj-SO,adj-SS,adj-%COR,adj-OO-FP,adj-OS-FP,adj-SO-FP,adj-SS-FP,adj-T-FP,dprimeOO,dprimeOS,dprimeSO,dprimeSS,dprimeT,dprimeSS-OS,dprimeOO-SO,dprimeSS-SO,dprimeOO-OS
OO,O,O,3,10,13,1,main,0,0,0,1,mismatch1,0.613409996,0.57585597,1.114959002,0.362077951,2.820379019,0.363358021,2.954833984,0.831901073,0.395128012,2.656714916,0.932047844,0.624950886,n,5.069619894,2.787750849,2.760313874,3.047258898,2.558802079,3.450307475,2.560334752,3.470533085,2.920071684,2.596737819,3.424344954,2.969438206,2.795845888,3.169391361,3.088854857,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,15,58,73,1,main,0,0,0,1,mismatch1,0.980687141,2.584690809,4.796684027,0.830274105,0.745044947,2.221092939,1.298348904,0.913933992,0.880769014,0.413756132,1.950942993,0.692643166,n,3.205307007,2.991530481,3.412408599,3.680941111,2.919221493,2.872182474,3.346566731,3.113391416,2.96091483,2.944862027,2.616744443,3.290244579,2.840509554,3.750273684,3.25399259,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,19,74,93,1,main,0,0,0,1,match,0.478778124,0.542727232,1.701591969,0.512804031,0.695016146,0.380290985,4.309892893,0.514011145,0.57940197,0.380452156,0.495270967,0.925651073,y,2.435475111,2.680134299,2.734581613,3.230855427,2.70995143,2.841994894,2.58011603,3.634466477,2.710972536,2.762979967,2.58030005,2.69484287,2.966447309,3.345255288,3.038784279,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,9,34,43,1,main,0,1,0,0,mismatch2,0.445212841,0.676917076,1.030798197,0.913341045,3.54321003,5.534960032,1.532984972,1.249245882,0.696331978,0.748672009,2.086581945,0.357069016,n,2.845476866,2.648567682,2.83053547,3.01317365,2.960632975,3.549396897,3.743114489,3.185537897,3.096647927,2.84281634,2.874291596,3.319435445,2.552752167,3.288727366,3.289048616,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,5,18,23,1,main,0,1,0,0,match,0.378484011,2.934299946,2.053858995,1.214747906,0.647549152,0.346653938,3.675467014,0.495605946,0.780469894,2.673278093,0.362658024,0.424073935,y,2.070109129,2.578047538,3.467504506,3.312570624,3.084486159,2.811272739,2.539896138,3.565312529,2.695136508,2.892356155,3.427044139,2.559497291,2.62744158,3.514362693,3.105876486,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,7,26,33,1,main,0,0,0,1,mismatch1,0.39551115,1.345861912,0.445824862,0.474081993,0.427809,0.413609982,2.151178122,1.197590113,0.546578884,0.316787004,0.4972229,0.373675823,n,2.050548077,2.597158731,3.129000503,2.649164284,2.67585346,2.631249917,2.616591011,3.332676372,3.078308202,2.73765285,2.500767357,2.696551122,2.572495,2.963743855,3.241588563,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,1,2,3,1,main,0,1,0,0,match,0.59631896,0.542454958,1.718680859,1.165023804,5.501032114,0.480085135,1.215141058,1.183353186,0.529434919,0.346466064,0.442553997,0.641164064,y,3.789952993,2.775478618,2.734363683,3.23519524,3.066334799,3.74044418,2.681318259,3.084626695,3.073114384,2.723812582,2.539660702,2.645966268,2.806969173,3.45995078,3.233703638,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,17,66,83,1,main,0,1,0,0,mismatch2,0.712972879,2.132847071,0.562289953,0.663450956,0.597074986,0.36382699,1.515761852,1.484742165,3.340522051,0.363391161,1.064728975,0.808652878,n,2.518949032,2.85307301,3.328959717,2.749960324,2.821808824,2.776028877,2.560894913,3.180630973,3.171651042,3.523814343,2.560374359,3.027239073,2.907762137,3.088398681,3.683521099,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,13,50,63,1,main,0,1,0,0,mismatch2,0.411618948,0.776540041,0.61439395,0.897521019,0.379613161,0.43027091,2.570564032,0.296036005,0.311936855,0.313086033,3.256814957,0.369068861,n,6.750067949,2.614495358,2.890163854,2.788446931,2.953044628,2.579341261,2.633741985,3.410028426,2.471344535,2.494066689,2.495663694,3.512793084,2.567107405,3.179527367,2.783884193,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,11,42,53,1,main,0,0,0,1,mismatch1,0.662537098,1.663239956,0.463162899,0.579148054,0.644633055,1.518462896,0.878947973,0.5137012,1.081194878,0.53105998,0.663841963,0.842661142,n,2.476214886,2.821210201,3.22095491,2.665733764,2.762789601,2.809312571,3.181404184,2.943963169,2.71071058,3.03390398,2.725143575,2.822064702,2.925652968,3.017997302,3.20273239,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
