Rctype,RC1,RC2,Group,Num,Item,Participant,V1,V2,V3,V4,Matching,CORR,regionExp_response_1.rt,regionExp_response_2.rt,regionExp_response_3.rt,regionExp_response_4.rt,regionExp_response_5.rt,regionExp_response_6.rt,regionExp_response_7.rt,regionExp_response_8.rt,regionExp_response_9.rt,regionExp_response_10.rt,Q_Exp_reponse_1.keys,Q_Exp_reponse_1.rt,log_R1,log_R2,log_R3,log_R4,log_R5,log_R6,log_R7,log_R8,log_R9,log_R10,R23467810,log_R23467810,R234678,log_R234678,RC1_rt,log_RC1_rt,RC2_rt,log_RC2_rt,R3478,log_R3478,R78,log_R78,R34,log_R34
OS,O,S,16,64,80,1,1,0,0,0,mismatch2,1,0.32626605,0.5972929,0.493937016,2.386667967,1.461233139,0.497310162,0.763098001,0.477347851,0.510596037,0.610780954,n,5.195569992,2.513571885,2.776187352,2.693671574,3.377792004,3.164719513,2.696627334,2.882580316,2.678834972,2.70807744,2.785885486,5.826434851,3.765402895,5.215653897,3.717308765,3.477897883,3.541316826,1.737756014,3.2399888,4.121050835,3.615007972,1.240445852,3.093577811,2.880604983,3.459483708
SS,S,S,1,1,2,1,1,0,0,0,match,1,0.426943064,0.480039835,0.796793938,0.526344061,0.644448042,0.11145997,1.231847048,0.627861977,0.542331934,0.476915836,y,5.085528851,2.630369963,2.681277278,2.901346021,2.721269727,2.809187909,2.047118922,3.090556787,2.797864183,2.734265178,2.678441743,4.251262665,3.628517939,3.774346829,3.576841805,1.803177834,3.25603856,1.971168995,3.294723859,3.182847024,3.502815766,1.859709025,3.269444999,1.323137999,3.121605142
SS,S,S,15,57,72,1,0,0,1,0,match,1,0.427054167,0.413054943,0.411534071,0.326781988,0.409959078,0.362848043,0.529206038,0.393598795,0.576235056,0.442895174,y,2.989660025,2.630482964,2.616007824,2.614405796,2.514258111,2.612740508,2.559724785,2.723624791,2.59505376,2.760599676,2.646300948,2.879919052,3.459380281,2.437023878,3.386859784,1.151371002,3.061215287,1.285652876,3.109123726,1.661120892,3.22040124,0.922804833,2.96510986,0.738316059,2.868242315
OS,O,S,18,72,90,1,0,0,1,0,match,1,0.4275949,0.680521965,0.861100912,0.462286949,0.460767031,0.43037796,0.512189865,0.410532951,0.827368975,0.359014988,y,5.19939208,2.631032517,2.832842147,2.935054049,2.664911633,2.663481397,2.633850023,2.709430981,2.613348021,2.917699232,2.55511258,3.71602559,3.570078696,3.357010602,3.525952713,2.003909826,3.301878175,1.353100776,3.131330143,2.246110677,3.351431152,0.922722816,2.965071259,1.323387861,3.121687147
SS,S,S,5,17,22,1,1,0,0,0,mismatch2,1,0.442862988,0.513170958,0.394893885,0.44373703,1.062510014,0.362227917,0.295167923,0.644445896,0.441962004,0.2929039,n,1.900593042,2.646269386,2.71026207,2.596480409,2.647125672,3.026333032,2.558981918,2.470069159,2.809186462,2.645384934,2.466725154,2.946547509,3.469313448,2.653643609,3.423842596,1.351801873,3.130913044,1.301841736,3.114558191,1.778244734,3.249991531,0.939613819,2.972949395,0.838630915,2.923570868
SO,S,O,9,35,44,1,0,0,1,0,match,1,0.460175037,0.479197025,0.428767204,0.477419138,0.527440071,0.329193115,0.594171047,0.496127844,0.82719779,0.52680707,y,1.546246052,2.662923056,2.680514113,2.632221559,2.678899824,2.722173121,2.517450743,2.773911486,2.695593601,2.917609365,2.721651595,3.331682443,3.5226636,2.804875373,3.447913569,1.385383367,3.141569969,1.419492006,3.152132951,1.996485233,3.300266102,1.090298891,3.03754557,0.906186342,2.957217512
OO,O,O,14,54,68,1,1,0,0,0,match,1,0.460533857,0.613788128,0.626141071,0.66306901,0.478368044,0.479309082,0.645065069,0.876619101,1.028551102,0.476427078,y,2.000570059,2.663261564,2.788018484,2.796672192,2.821558731,2.67976216,2.680615658,2.809603525,2.942810929,3.012225874,2.677996437,4.380418539,3.641515608,3.903991461,3.591508859,1.902998209,3.27943838,2.000993252,3.301245624,2.810894251,3.448844507,1.52168417,3.182324523,1.289210081,3.110323693
SS,S,S,9,33,42,1,1,0,0,0,mismatch2,1,0.476938009,1.902357101,1.884508133,3.489606142,0.527227163,0.445955992,0.763643026,0.594393969,0.810673952,0.409470081,n,2.253312826,2.678461934,3.279292044,3.275198016,3.542776413,2.721997777,2.649292004,2.88289039,2.774074394,2.908846219,2.612222174,9.489934444,3.977263212,9.080464363,3.958108058,7.276471376,3.861920825,1.803992987,3.256234845,6.73215127,3.828153866,1.358036995,3.132911601,5.374114275,3.730306897
SS,S,S,19,73,92,1,0,0,1,0,match,1,0.477199078,0.446294069,0.546190023,0.929481983,1.883054018,1.03173995,0.612950802,0.55982399,0.559508801,1.363357067,y,2.937325954,2.678699596,2.649621115,2.737343763,2.968240976,3.274862779,3.013570247,2.787425618,2.748051505,2.747806922,3.134609614,5.489837884,3.73955952,4.126480817,3.615579831,1.921966075,3.283745718,2.204514742,3.343313007,2.648446798,3.422991253,1.172774792,3.069214623,1.475672006,3.168989839
OO,O,O,2,6,8,1,1,0,0,0,match,1,0.477659941,0.678675175,0.426305056,0.328137875,1.683287144,0.37917304,0.510953188,0.395299911,0.760595083,0.443221092,y,1.934026957,2.679118821,2.831661964,2.629720483,2.516056361,3.226158207,2.578837451,2.708381113,2.596926717,2.881153514,2.646620419,3.161765337,3.499929634,2.718544245,3.434336406,1.433118106,3.156281983,1.285426139,3.109047127,1.66069603,3.220290147,0.906253099,2.957249505,0.754442931,2.877626394
